Type_of_Security,spread,curve_family,slice_name,n_obs,pred_logit,pred_smm,pred_cpr_pct
20yr TBA Eligible,2.646464646464646,duration_slice,high_duration,17,-3.028291127716318,0.046171637210241395,43.2891348946868
20yr TBA Eligible,2.6969696969696972,duration_slice,high_duration,17,-2.8471577315790633,0.05483722093052618,49.17089909293507
20yr TBA Eligible,2.7474747474747474,duration_slice,high_duration,17,-2.6620835595045342,0.0652582489684566,55.50138150756809
20yr TBA Eligible,2.7979797979797976,duration_slice,high_duration,17,-2.473023843481669,0.07778262122327505,62.149982511374525
20yr TBA Eligible,2.8484848484848486,duration_slice,high_duration,17,-2.2799338154994047,0.09281158507107289,68.9211856181736
20yr TBA Eligible,2.898989898989899,duration_slice,high_duration,17,-2.082768707546691,0.11079752769203867,75.55768187370313
20yr TBA Eligible,2.94949494949495,duration_slice,high_duration,17,-1.8814837516124616,0.13223459977034385,81.76024051372806
20yr TBA Eligible,3.0,duration_slice,high_duration,17,-1.6760341796856653,0.15763861270385668,87.22819003491999
20yr TBA Eligible,-2.0,duration_slice,low_duration,17,-8.69213125659884,0.00016789232452293484,0.20128481282393393
20yr TBA Eligible,-1.9494949494949494,duration_slice,low_duration,17,-8.682031695383344,0.00016959626574027657,0.20332574924941343
20yr TBA Eligible,-1.898989898989899,duration_slice,low_duration,17,-8.672110015247947,0.00017128703110296886,0.205350866153393
20yr TBA Eligible,-1.8484848484848484,duration_slice,low_duration,17,-8.66232144818158,0.00017297162705616172,0.20736855616493038
20yr TBA Eligible,-1.797979797979798,duration_slice,low_duration,17,-8.652621226173196,0.0001746573598972061,0.20938757041930078
20yr TBA Eligible,-1.7474747474747474,duration_slice,low_duration,17,-8.642964581211729,0.00017635183481403717,0.21141701737521434
20yr TBA Eligible,-1.696969696969697,duration_slice,low_duration,17,-8.633306745286125,0.00017806295813408964,0.21346636547014505
20yr TBA Eligible,-1.6464646464646464,duration_slice,low_duration,17,-8.623602950385322,0.00017979894301697414,0.2155454498909539
20yr TBA Eligible,-1.595959595959596,duration_slice,low_duration,17,-8.613808428498269,0.0001815683188291495,0.21766448374376313
20yr TBA Eligible,-1.5454545454545454,duration_slice,low_duration,17,-8.603878411613897,0.0001833799444483112,0.21983407391822166
20yr TBA Eligible,-1.4949494949494948,duration_slice,low_duration,17,-8.593768131721149,0.00018524302575965282,0.2220652419573235
20yr TBA Eligible,-1.4444444444444444,duration_slice,low_duration,17,-8.583432820808977,0.00018716713762597796,0.22436945026892746
20yr TBA Eligible,-1.393939393939394,duration_slice,low_duration,17,-8.572827710866312,0.00018916225063938155,0.2267586340446391
20yr TBA Eligible,-1.3434343434343434,duration_slice,low_duration,17,-8.561908033882098,0.00019123876299442894,0.2292452392901088
20yr TBA Eligible,-1.2929292929292928,duration_slice,low_duration,17,-8.550629021845284,0.0001934075378621138,0.2318422674175062
20yr TBA Eligible,-1.2424242424242424,duration_slice,low_duration,17,-8.538945906744798,0.00019567994669106455,0.23456332690712167
20yr TBA Eligible,-1.191919191919192,duration_slice,low_duration,17,-8.526813920569593,0.00019806791891838823,0.23742269261087015
20yr TBA Eligible,-1.1414141414141414,duration_slice,low_duration,17,-8.514188295308609,0.00020058399863815885,0.24043537334834994
20yr TBA Eligible,-1.0909090909090908,duration_slice,low_duration,17,-8.50102426295078,0.0002032414088520353,0.24361718853693107
20yr TBA Eligible,-1.0404040404040404,duration_slice,low_duration,17,-8.487277055485055,0.00020605412401519113,0.24698485470212456
20yr TBA Eligible,-0.9898989898989898,duration_slice,low_duration,17,-8.472901904900377,0.00020903695169325814,0.250556082835597
20yr TBA Eligible,-0.9393939393939394,duration_slice,low_duration,17,-8.457854043185682,0.00021220562426417218,0.25434968770843347
20yr TBA Eligible,-0.8888888888888888,duration_slice,low_duration,17,-8.442088702329912,0.00021557690173490271,0.2583857104076949
20yr TBA Eligible,-0.8383838383838385,duration_slice,low_duration,17,-8.425561114322008,0.00021916868689959788,0.2626855555491757
20yr TBA Eligible,-0.7878787878787878,duration_slice,low_duration,17,-8.408226511150918,0.00022300015424575563,0.2672721448322731
20yr TBA Eligible,-0.7373737373737375,duration_slice,low_duration,17,-8.390040124805582,0.00022709189422222932,0.2721700888464678
20yr TBA Eligible,-0.6868686868686869,duration_slice,low_duration,17,-8.370957187274932,0.0002314660747213765,0.2774058793204411
20yr TBA Eligible,-0.6363636363636365,duration_slice,low_duration,17,-8.350932930547922,0.0002361466219025092,0.2830081043284854
20yr TBA Eligible,-0.5858585858585859,duration_slice,low_duration,17,-8.329922586613485,0.00024115942280079078,0.2890076893409078
20yr TBA Eligible,-0.5353535353535355,duration_slice,low_duration,17,-8.307881387460569,0.0002465325525318456,0.2954381674361057
20yr TBA Eligible,-0.48484848484848486,duration_slice,low_duration,17,-8.28476456507811,0.00025229652932572344,0.30233598248798055
20yr TBA Eligible,-0.4343434343434345,duration_slice,low_duration,17,-8.260527351455053,0.00025848460111420747,0.30974082971765293
20yr TBA Eligible,-0.38383838383838387,duration_slice,low_duration,17,-8.23512497858034,0.00026513306796416714,0.3176960386633634
20yr TBA Eligible,-0.33333333333333326,duration_slice,low_duration,17,-8.20851267844291,0.00027228164531035813,0.32624900439507
20yr TBA Eligible,-0.2828282828282829,duration_slice,low_duration,17,-8.180645683031702,0.0002799738737097691,0.33545167369685025
20yr TBA Eligible,-0.23232323232323226,duration_slice,low_duration,17,-8.151479224335667,0.0002882575817355075,0.34536109398405873
20yr TBA Eligible,-0.18181818181818188,duration_slice,low_duration,17,-8.120968534343739,0.0002971854096739921,0.3560400339377663
20yr TBA Eligible,-0.13131313131313127,duration_slice,low_duration,17,-8.089068845044865,0.0003068154029119822,0.36755768625828167
20yr TBA Eligible,-0.08080808080808088,duration_slice,low_duration,17,-8.055735388427976,0.00031721168533210045,0.37999046459774655
20yr TBA Eligible,-0.030303030303030276,duration_slice,low_duration,17,-8.020923396482026,0.00032844522471558237,0.3934229086723885
20yr TBA Eligible,0.020202020202020332,duration_slice,low_duration,17,-7.984588101195953,0.00034059470412533947,0.40794871383084524
20yr TBA Eligible,0.0707070707070705,duration_slice,low_duration,17,-7.946684734558694,0.00035374751556647673,0.4236719040244122
20yr TBA Eligible,0.1212121212121211,duration_slice,low_duration,17,-7.907168528559195,0.000368000894961802,0.44070817026578135
20yr TBA Eligible,0.1717171717171717,duration_slice,low_duration,17,-7.865994715186396,0.0003834632207167352,0.45918640035811625
20yr TBA Eligible,0.22222222222222232,duration_slice,low_duration,17,-7.823118526429238,0.00040025550197792783,0.479250430034048
20yr TBA Eligible,0.2727272727272725,duration_slice,low_duration,17,-7.778495194276663,0.0004185130872293727,0.501061050788064
20yr TBA Eligible,0.3232323232323231,duration_slice,low_duration,17,-7.732079950717613,0.0004383876292597617,0.5247983157669389
20yr TBA Eligible,0.3737373737373737,duration_slice,low_duration,17,-7.68382802774103,0.00046004934894594785,0.5506641922815155
20yr TBA Eligible,0.4242424242424243,duration_slice,low_duration,17,-7.633694657335856,0.0004836896479366297,0.5788856180343676
20yr TBA Eligible,0.4747474747474749,duration_slice,low_duration,17,-7.58163507149103,0.0005095241294394557,0.6097180282822455
20yr TBA Eligible,0.5252525252525251,duration_slice,low_duration,17,-7.527604502195498,0.0005377960972198228,0.6434494331799525
20yr TBA Eligible,0.5757575757575757,duration_slice,low_duration,17,-7.471558181438198,0.0005687806159843208,0.6804051388580018
20yr TBA Eligible,0.6262626262626263,duration_slice,low_duration,17,-7.413451341208072,0.0006027892320022564,0.7209532228151762
20yr TBA Eligible,0.6767676767676769,duration_slice,low_duration,17,-7.353239213494062,0.0006401754716732086,0.7655108945006068
